name,manufacturer,location,short_description,class,sys_updated_on,asset,tag,assigned,assigned_to,attested,can_print,category,assignment_group,company,cost,cost_center,cost_cc,sys_created_on,sys_created_by,dns_domain,department,discovery_source,sys_domain,sys_domain_path,fault_count,first_discovered,install_status,install_date,invoice_number,model_id,model_number,monitor,last_discovered,operational_status,po_number,product_instance_id,purchase_date,unverified,serial_number,skip_sync,subcategory,sys_class_path,sys_updated_by,sys_mod_count,vendor,warranty_expiration
*ANNIE-IBM,Lenovo,"815 E Street, San Diego,CA",,Computer,2024-05-16 12:40:57,P1000226 - Lenovo ThinkStation S20,P1000226,2024-01-29 23:00:00,Annie Approver,FALSE,FALSE,Do not migrate to asset,,ACME North America,"3,665",Finance,USD,2011-08-12 14:11:18,admin,,Finance,,global,/,0,2007-03-13 13:55:20,Installed,2023-08-04 1:00:00,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,16,Lenovo,2019-07-27
*ASSET-IBM,Lenovo,"3 Whitehall Court, London",,Computer,2024-05-16 12:41:10,P1000227 - Lenovo ThinkStation S20,P1000227,2024-01-03 23:00:00,Asset Manager,FALSE,FALSE,Do not migrate to asset,,ACME UK,"3,665",IT,USD,2011-08-12 14:11:38,admin,,IT,,global,/,0,2007-03-13 13:55:20,Installed,2023-07-26 1:00:00,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,17,Lenovo,2019-07-27
*BETH-IBM,Lenovo,"6304 Northwest Barry Road, Kansas City,MO",,Computer,2024-05-16 12:41:36,P1000228 - Lenovo ThinkStation S20,P1000228,2018-10-06 15:43:27,Beth Anglin,FALSE,FALSE,Do not migrate to asset,,ACME North America,"3,665",Sales,USD,2011-08-12 14:11:46,admin,,Sales,,global,/,0,2007-03-13 13:55:20,Installed,2018-09-05 15:43:27,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,14,Lenovo,2019-07-27
*BOW-IBM,Lenovo,"13308 Midland Road, Poway,CA",,Computer,2024-05-16 12:41:38,P1000230 - Lenovo ThinkStation S20,P1000230,2018-11-28 14:43:27,Bow Ruggeri,FALSE,FALSE,Do not migrate to asset,,ACME North America,"3,665",Engineering,USD,2011-08-12 14:11:54,admin,,Development,,global,/,0,2007-03-13 13:55:20,Installed,2018-09-05 15:43:27,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,14,Lenovo,2019-07-27
*BUD-IBM,Lenovo,"4492 Camino De La Plaza, San Ysidro,CA",,Computer,2024-05-16 12:38:27,P1000231 - Lenovo ThinkStation S20,P1000231,2018-10-29 15:43:27,Bud Richman,FALSE,FALSE,Do not migrate to asset,,ACME North America,"3,665",Sales,USD,2011-08-12 14:12:01,admin,,Sales,,global,/,0,2007-03-13 13:55:20,Installed,2018-09-05 15:43:27,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,14,Lenovo,2019-07-27
*CAROL-IBM,Lenovo,"322 West 52nd Street, New York,NY",,Computer,2024-05-16 12:41:45,P1000232 - Lenovo ThinkStation S20,P1000232,2018-12-25 14:43:27,Carol Coughlin,FALSE,FALSE,Do not migrate to asset,,ACME North America,"3,665",Sales,USD,2011-08-12 14:12:10,admin,,Sales,,global,/,0,2007-03-13 13:55:20,Installed,2018-09-05 15:43:27,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,17,Lenovo,2019-07-27
*CAROL2-IBM,Lenovo,"322 West 52nd Street, New York,NY",,Computer,2024-05-16 12:41:15,P1000233 - Lenovo ThinkStation S20,P1000233,2023-11-22 23:00:00,Carol Coughlin,FALSE,FALSE,Do not migrate to asset,,ACME North America,"3,665",Sales,USD,2011-08-25 16:03:49,admin,,Sales,,global,/,0,2007-03-13 13:55:20,Installed,2023-07-28 1:00:00,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,12,Lenovo,2019-07-27
*CAROL3-GATEWAY,Gateway,"322 West 52nd Street, New York,NY",,Computer,2024-05-16 12:38:03,P1000038 - Gateway DX Series,P1000038,2023-05-02 1:00:00,Carol Coughlin,FALSE,FALSE,Do not migrate to asset,,ACME North America,699.99,Sales,USD,2006-02-07 15:03:17,Karic,,Sales,,global,/,,,,2023-02-25 23:00:00,,Gateway DX Series,,FALSE,,,,,,FALSE,56WHL71,FALSE,,/!!/!2/!(,system,19,Gateway,
*CHUCK-IBM,Lenovo,"9249 Cicero Avenue, Oak Lawn,IL",,Computer,2024-05-16 12:41:43,P1000235 - Lenovo ThinkStation S20,P1000235,2018-10-31 15:43:27,Chuck Farley,FALSE,FALSE,Hardware,,ACME North America,"3,665",Sales,USD,2012-02-07 8:24:35,admin,,Sales,,global,/,0,,Installed,2018-09-05 15:43:27,INV0166221,Lenovo ThinkStation S20,,FALSE,,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,Computer,/!!/!2/!(,system,10,Lenovo,2019-07-27
*DAVID-IBM,Lenovo,"153 South Sierra Avenue, Solana Beach,CA",,Computer,2024-05-16 12:41:45,P1000234 - Lenovo ThinkStation S20,P1000234,2018-12-10 14:43:27,David Loo,FALSE,FALSE,Do not migrate to asset,,ACME North America,"3,665",Engineering,USD,2011-08-12 14:12:22,admin,,Development,,global,/,0,2007-03-13 13:55:20,Installed,2018-09-05 15:43:27,INV0166221,Lenovo ThinkStation S20,,FALSE,2007-04-12 16:17:45,Operational,PO27711,,2018-07-27,FALSE,L3BB911,FALSE,,/!!/!2/!(,system,14,Lenovo,2019-07-27
